"","Alleanza Verdi e Sinistra","altre_liste","Azione","Democrazia Sovrana e Popolare","Forza Italia","Fratelli d'Italia","Lega","Libertà","Movimento 5 Stelle","Pace Terra e Dignità","Partito Democratico","Stati Uniti d'Europa"
"Alleanza Verdi e Sinistra",2.45073620399032,-0.592492342303269,0.301139692216788,0.33821329257542,-0.0846318493911637,0.0684805597964476,0.0710665137598292,0.336164123117035,0.0576806493268582,-0.13358691202596,0.057873908865088,0.163491412121546
"altre_liste",0,0,0,0,0,0,0,0,0,0,0,0
"Azione",-0.00413721284344591,-0.125768426097225,0.792447324188507,-0.111328250920902,-0.0513131550481358,-0.000448942939770219,-0.0243476333482951,-0.050039768681228,0.00250719671482697,-0.0116035398390946,-0.00199670234934539,-0.0149931555381695
"Democrazia Sovrana e Popolare",0,0,0,0,0,0,0,0,0,0,0,0
"Forza Italia",-0.569694458943913,0.103403414426487,-0.405630521607946,-0.591219206707736,1.15019762720337,-0.063311378267025,-0.204464849323677,-0.541488977092345,-0.117484843358882,-0.192359513799276,-0.0982517615577284,-0.282137526568595
"Fratelli d'Italia",-0.618226397822454,0.259640503612242,-0.191996347855138,0.178910356873718,-0.359316167711624,0.0400809017526812,-0.182884289014132,0.262042159454344,-0.0664994673225685,0.183008800652634,-0.0335373071358795,-0.219758992230474
"Lega",-0.274404792769416,0.0697138991114156,-0.171777671642458,0.0460041675949941,-0.146166245504519,-0.014025176139497,0.636524350687493,-0.0951889500645142,-0.0408870317963643,0.00373765083209695,-0.0219901473437179,-0.0694959424400883
"Libertà",0,0,0,0,0,0,0,0,0,0,0,0
"Movimento 5 Stelle",-0.37208816243322,0.14151833561305,-0.132065805361079,0.0463642583801329,-0.203714699836462,-0.00599373369174661,-0.124330990163171,0.0782356633785265,0.233420322445327,-0.00172584028751206,-0.0186036015322019,-0.123684028599589
"Pace Terra e Dignità",-0.00400100444324093,0.000421329383477453,-0.00105180173633695,-0.00923675032379847,-0.00123056785909921,-0.000490498437421999,-0.00156432372059761,-0.00642390914500736,-0.000776871767694408,0.0151524787304745,-0.000670224419030393,-0.00262566208793808
"Partito Democratico",-0.546389785363841,0.197885979416978,-0.165566117237474,0.107187801883432,-0.248488258884226,-0.0190040501688537,-0.146905581750635,-0.00115862791977907,-0.0527745565152371,0.107722361808862,0.12628242075691,-0.186883878830818
"Stati Uniti d'Europa",-0.0617943893720373,-0.0543226931631399,-0.0254987509639757,-0.0048956693579502,-0.055336682968004,-0.00528768190486411,-0.0230931971265815,0.0178582869536408,-0.0151853977264669,0.0296545139277812,-0.00910658528398053,0.736087774174939
